AS7343-FXL x,AS7343-FXL y
3.508819538670E2,1.221166892809E-3
4.185285383811E2,4.516816068688E-3
4.256863335116E2,8.009701985411E-3
4.344694898205E2,7.120311015602E-3
4.374967702806E2,7.523021763011E-3
4.405240507407E2,7.925732510420E-3
4.435529813945E2,7.488748507913E-3
4.465827371452E2,6.631917130447E-3
4.496100176053E2,7.034627877856E-3
4.526381231622E2,7.017491250307E-3
4.556662287192E2,7.000354622757E-3
4.586943342761E2,6.983217995208E-3
4.617224398331E2,6.966081367659E-3
4.647497202932E2,7.368792115067E-3
4.679535046924E2,7.472615597120E-3
4.711079168659E2,7.752652572172E-3
4.743227097601E2,7.757784040088E-3
4.774661134386E2,8.136513029276E-3
4.804933938987E2,8.539223776685E-3
4.835198492619E2,9.361781899052E-3
4.868524155683E2,8.503236858831E-3
4.901849818747E2,7.644691818611E-3
4.933072401536E2,7.655011876535E-3
4.965431784474E2,8.028552275716E-3
4.995696338106E2,8.851110398082E-3
5.032010914625E2,9.985126726158E-3
5.065285009134E2,1.175062777943E-2
5.094143214599E2,1.397220793447E-2
5.127805822918E2,1.763615278441E-2
5.156630502683E2,2.209104020895E-2
5.184573390850E2,2.805698572397E-2
5.204926664638E2,3.427813234454E-2
5.223446651736E2,4.206972847552E-2
5.237822270509E2,4.934136566542E-2
5.257498326387E2,5.792201169168E-2
5.272065878411E2,6.643307586984E-2
5.284019424469E2,7.443414432177E-2
5.296592712691E2,8.325511029863E-2
5.308415736417E2,9.156683070175E-2
5.320680819985E2,9.995674376831E-2
5.330793837244E2,1.084828241714E-1
5.339713134538E2,1.168746306823E-1
5.347682667969E2,1.257880294690E-1
5.355518896684E2,1.339180472181E-1
5.364438193979E2,1.423098537290E-1
5.373342861765E2,1.504142761908E-1
5.382262159060E2,1.588060827017E-1
5.390285415874E2,1.673933232695E-1
5.398298282034E2,1.756227037923E-1
5.406135256856E2,1.843949804961E-1
5.413914097137E2,1.932440113557E-1
5.421900132505E2,2.013177153926E-1
5.428809189295E2,2.101954778994E-1
5.437627381526E2,2.192608393011E-1
5.446546678820E2,2.276526458120E-1
5.456444747291E2,2.371422369241E-1
5.464368771471E2,2.452759535837E-1
5.474266839942E2,2.547655446958E-1
5.482190864123E2,2.628992613554E-1
5.491941781721E2,2.710489377744E-1
5.503987646134E2,2.787089150855E-1
5.519936631347E2,2.872110338760E-1
5.539637790470E2,3.002006805214E-1
5.541493210712E2,3.011725993135E-1
5.551938740787E2,3.089437742966E-1
5.552074765129E2,3.092448344965E-1
5.560858038081E2,3.173355808075E-1
5.568739518204E2,3.255705336244E-1
5.569812254654E2,3.267020024091E-1
5.577093311039E2,3.341913244957E-1
5.578715050011E2,3.359335036700E-1
5.585623654962E2,3.425107949727E-1
5.587718950432E2,3.444914500399E-1
5.594542952257E2,3.509026014836E-1
5.596638247726E2,3.528832565508E-1
5.603462249551E2,3.592944079945E-1
5.605472941895E2,3.611089232026E-1
5.611345716291E2,3.676881335356E-1
5.614375737251E2,3.703404244634E-1
5.619280287469E2,3.759730375817E-1
5.623278532608E2,3.795719257243E-1
5.629167808942E2,3.853114413073E-1
5.632197829903E2,3.879637322352E-1
5.637049289065E2,3.935463941242E-1
5.639123388630E2,3.960017999920E-1
5.644303941122E2,4.015767784497E-1
5.647092922061E2,4.049151987788E-1
5.652286720713E2,4.099307959767E-1
5.655911114291E2,4.139805601805E-1
5.659716523321E2,4.181438460415E-1
5.662825121663E2,4.226064142623E-1
5.665765766950E2,4.270550827741E-1
5.668711362819E2,4.312518428609E-1
5.671661909269E2,4.351966945228E-1
5.674607505138E2,4.393934546096E-1
5.677553101006E2,4.435902146964E-1
5.680482194937E2,4.486266695332E-1
5.682421477110E2,4.517514009619E-1
5.685350571041E2,4.567878557987E-1
5.687336795333E2,4.602754247147E-1
5.691241762779E2,4.651813759723E-1
5.693227987071E2,4.686689448883E-1
5.697132954516E2,4.735748961460E-1
5.700844073308E2,4.782560413712E-1
5.704058513244E2,4.816129639028E-1
5.711136813120E2,4.873817953595E-1
5.713920778403E2,4.897143453783E-1
5.722593921795E2,4.959570963900E-1
5.725351759010E2,4.977848503230E-1
5.735424571213E2,5.034270339417E-1
5.739418040122E2,5.056639350578E-1
5.749401712394E2,5.112561878481E-1
5.753395181303E2,5.134930889642E-1
5.763378853575E2,5.190853417544E-1
5.767182779395E2,5.209802560802E-1
5.778370863921E2,5.266340261899E-1
5.781401326898E2,5.283466689075E-1
5.792669907483E2,5.343475411815E-1
5.795770520066E2,5.364038487642E-1
5.804803100379E2,5.424706288819E-1
5.806799319148E2,5.440738980941E-1
5.816574840677E2,5.517359099547E-1
5.817056906396E2,5.526190561708E-1
5.825561960854E2,5.599248374111E-1
5.826643157003E2,5.613137049719E-1
5.832567352616E2,5.680278356457E-1
5.833648548765E2,5.694167032065E-1
5.841486649910E2,5.764196421566E-1
5.842488013025E2,5.777435792397E-1
5.848412208638E2,5.844577099135E-1
5.850377893911E2,5.862389297424E-1
5.856297138942E2,5.932049688412E-1
5.858257873634E2,5.952380970950E-1
5.865199934299E2,6.024364701020E-1
5.867160668991E2,6.044695983559E-1
5.873112871240E2,6.104464893817E-1
5.876079966285E2,6.128614048667E-1
5.882032168535E2,6.188382958926E-1
5.884999263580E2,6.212532113776E-1
5.890951465829E2,6.272301024035E-1
5.893918560874E2,6.296450178885E-1
5.900350048642E2,6.355841517217E-1
5.902922461295E2,6.382029642585E-1
5.910460230858E2,6.436354116217E-1
5.915368290193E2,6.464755689492E-1
5.927048317453E2,6.513201414992E-1
5.940592965441E2,6.548341569236E-1
5.955405635086E2,6.559168653728E-1
5.970334905093E2,6.536213448957E-1
5.984192577718E2,6.536019354793E-1
6.011114192397E2,6.506358055785E-1
6.014158799892E2,6.497943971659E-1
6.031712441379E2,6.443914837093E-1
6.035487554291E2,6.430648435273E-1
6.051337665395E2,6.377658555565E-1
6.057051461303E2,6.353755163414E-1
6.070625508278E2,6.302397557680E-1
6.078178066966E2,6.279263467502E-1
6.090063057132E2,6.231669014176E-1
6.096267284733E2,6.200340627320E-1
6.102878373500E2,6.156419654919E-1
6.109851817315E2,6.116132769599E-1
6.116716320510E2,6.068607546208E-1
6.120165184549E2,6.036391757455E-1
6.129486839356E2,5.973964039930E-1
6.132255309516E2,5.954119135003E-1
6.140447755393E2,5.890616546316E-1
6.145393553088E2,5.855791593814E-1
6.152661625247E2,5.807743448274E-1
6.156110489286E2,5.775527659520E-1
6.162235488487E2,5.728771612297E-1
6.165638901257E2,5.693187898209E-1
6.171009250588E2,5.647774509155E-1
6.174356827437E2,5.609623184240E-1
6.179320562803E2,5.564142122508E-1
6.182613329644E2,5.525754529741E-1
6.188213760679E2,5.475616608172E-1
6.193124335413E2,5.431047172524E-1
6.197463096726E2,5.391595723298E-1
6.201865014621E2,5.350579169558E-1
6.205561015804E2,5.302361643415E-1
6.224943378119E2,5.172584701538E-1
6.230754755239E2,5.087333740868E-1
6.237960198207E2,5.001221044141E-1
6.245433318401E2,4.915787410931E-1
6.251654548891E2,4.831783662684E-1
6.258081503538E2,4.745819484246E-1
6.264302734028E2,4.661815735999E-1
6.271126745676E2,4.574897167261E-1
6.277369458153E2,4.489133956582E-1
6.284494057997E2,4.402885934899E-1
6.290187247110E2,4.317930032784E-1
6.296282306536E2,4.233926998564E-1
6.302646210028E2,4.141525588792E-1
6.308741269454E2,4.057522554571E-1
6.315088671009E2,3.973518092298E-1
6.321897304013E2,3.892361285308E-1
6.329828490493E2,3.804965793854E-1
6.340211303382E2,3.721988101182E-1
6.350334849221E2,3.633363991736E-1
6.358210104282E2,3.551500077851E-1
6.369293136295E2,3.436280500469E-1
6.376146129061E2,3.348754495236E-1
6.382362408970E2,3.267269831239E-1
6.388578688879E2,3.185785167242E-1
6.394809820532E2,3.096743250496E-1
6.401026100441E2,3.015258586499E-1
6.407242380350E2,2.933773922502E-1
6.411460874788E2,2.850811122376E-1
6.416650134999E2,2.769142341636E-1
6.422871365489E2,2.685138593389E-1
6.429087645398E2,2.603653929393E-1
6.435303925307E2,2.522169265396E-1
6.441535056960E2,2.433127348649E-1
6.449759023502E2,2.348082652283E-1
6.460589254998E2,2.257555255138E-1
6.474888763496E2,2.180982989035E-1
6.492839279857E2,2.105379690415E-1
6.508284111230E2,2.023822807774E-1
6.531854837213E2,1.928525069937E-1
6.538581439544E2,1.869848971598E-1
6.541962274018E2,1.848097980669E-1
6.552004423394E2,1.776434644332E-1
6.552866948406E2,1.767841314142E-1
6.563821560801E2,1.684185638341E-1
6.563846816297E2,1.681423196980E-1
6.573087875181E2,1.601614114343E-1
6.573388839092E2,1.595214807998E-1
6.580555579040E2,1.518477984369E-1
6.581708891358E2,1.505988634255E-1
6.590177555197E2,1.430564781457E-1
6.590867092263E2,1.423630142508E-1
6.599070753072E2,1.342039267121E-1
6.599228049444E2,1.337665015435E-1
6.609456899500E2,1.253925979632E-1
6.618706235547E2,1.169905094758E-1
6.629922746217E2,1.078863203522E-1
6.637618689226E2,9.954558830165E-2
6.644890392467E2,9.162110714437E-2
6.646396112421E2,9.027109382641E-2
6.653608318646E2,8.326463574746E-2
6.654757069603E2,8.167458111910E-2
6.663136730617E2,7.503065961637E-2
6.665075028894E2,7.346681484782E-2
6.678042377958E2,6.515321332582E-2
6.692669493710E2,5.760213647774E-2
6.710841041084E2,5.022861149667E-2
6.711874303033E2,4.965424172305E-2
6.731605291700E2,4.397519905452E-2
6.735765338502E2,4.287192393220E-2
6.757645074264E2,3.892235017742E-2
6.763515913612E2,3.807934234618E-2
6.790038600497E2,3.511277178933E-2
6.821686533007E2,3.293833623073E-2
6.852934275521E2,3.091940230667E-2
6.902311235812E2,2.736478021516E-2
6.951034994404E2,2.366358283601E-2
6.980217590636E2,2.130169654291E-2
7.008293230998E2,1.840313799668E-2
7.037128418879E2,1.522300493909E-2
7.069841382024E2,1.313526728541E-2
7.192097448673E2,4.041361745668E-3
7.590085155445E2,2.589974864871E-3
7.836141860217E2,3.045220984377E-3
7.867534295093E2,3.095096730845E-3
7.899740327881E2,2.589386691566E-3
7.930023446193E2,2.467288220277E-3
7.960849925181E2,1.981893244943E-3
7.993638415796E2,1.171759177549E-3
8.023942161529E2,4.226886559603E-8
8.120751495874E2,-1.626554262962E-4
9.991180461330E2,-1.221166892809E-3
