AS7343-FY x,AS7343-FY y
3.508819538670E2,1.221166892809E-3
4.247166737104E2,5.707954267411E-3
4.311327980297E2,1.007809293061E-2
4.341586345702E2,1.121553658420E-2
4.372880379590E2,1.307774737901E-2
4.402600940626E2,1.524348524909E-2
4.432628370582E2,1.847127649194E-2
4.462961964687E2,2.243012051619E-2
4.491378641000E2,2.564199628621E-2
4.524253306764E2,2.798284124877E-2
4.554991023990E2,2.985873686473E-2
4.586842653439E2,3.521909640297E-2
4.618078373604E2,4.055301453292E-2
4.646985004397E2,4.535485057784E-2
4.673561645087E2,4.994558479214E-2
4.699798366490E2,5.438866676336E-2
4.727902525736E2,5.831168636171E-2
4.754064790985E2,6.491090268732E-2
4.775491093446E2,7.211107504016E-2
4.791878757624E2,7.898834589823E-2
4.807783731940E2,8.609188858245E-2
4.833160374399E2,9.140282399577E-2
4.859245941245E2,9.541592763203E-2
4.879231764521E2,1.024501026760E-1
4.894279554855E2,1.103704912734E-1
4.908061570446E2,1.189569719133E-1
4.919753518637E2,1.273909429433E-1
4.930549045723E2,1.358104268927E-1
4.942131619464E2,1.443069364129E-1
4.952567621634E2,1.525629351505E-1
4.963426541208E2,1.616546313666E-1
4.973417819842E2,1.701845292594E-1
4.983848517818E2,1.787104298809E-1
4.996331256705E2,1.881009281892E-1
5.007198640480E2,1.962957056449E-1
5.017153768329E2,2.046855931255E-1
5.025279597455E2,2.130978411849E-1
5.033567578992E2,2.213987891436E-1
5.041325570842E2,2.293826559406E-1
5.051618379413E2,2.385049112008E-1
5.062619973709E2,2.505950532740E-1
5.068483389149E2,2.589711956833E-1
5.074374580886E2,2.673647158569E-1
5.079226420674E2,2.755419054885E-1
5.085181090847E2,2.842822597833E-1
5.090049466951E2,2.924434460488E-1
5.096019547118E2,3.011028219582E-1
5.101894236918E2,3.103360368817E-1
5.107690038288E2,3.193033960696E-1
5.114540567223E2,3.275824160302E-1
5.122488975964E2,3.366765090791E-1
5.130442007456E2,3.464296026158E-1
5.139260199687E2,3.554949640175E-1
5.146185758415E2,3.635330317743E-1
5.153111317142E2,3.715710995312E-1
5.161108323106E2,3.801183699352E-1
5.169421088245E2,3.884193038683E-1
5.176985192560E2,3.972121440152E-1
5.185486178832E2,4.057949491206E-1
5.193464451496E2,4.145311593436E-1
5.199439757276E2,4.229246319156E-1
5.205411212605E2,4.315140332624E-1
5.212433560599E2,4.408178220204E-1
5.218640910553E2,4.492886342496E-1
5.225585433003E2,4.580814085190E-1
5.233482383692E2,4.669048820877E-1
5.241976166737E2,4.749370642291E-1
5.252871237097E2,4.841687708574E-1
5.261618724336E2,4.926206521282E-1
5.270709831685E2,5.009523838792E-1
5.280199238183E2,5.091942571395E-1
5.290876577099E2,5.177808287327E-1
5.302546774410E2,5.253726275971E-1
5.315690282885E2,5.327896578513E-1
5.331124225926E2,5.405045298326E-1
5.349832438250E2,5.483484997816E-1
5.368720379266E2,5.557600299944E-1
5.385749255207E2,5.631922049472E-1
5.405649299349E2,5.711243671218E-1
5.428141990417E2,5.770734044976E-1
5.455344704063E2,5.820217752837E-1
5.482623911064E2,5.862878583842E-1
5.512551120398E2,5.898308382793E-1
5.541791660041E2,5.929400194426E-1
5.574648255528E2,5.951486908209E-1
5.610200403238E2,5.947237228585E-1
5.640544807913E2,5.917276664218E-1
5.668423610281E2,5.880532599838E-1
5.694499765866E2,5.828004654246E-1
5.719467976773E2,5.766333073411E-1
5.739190745576E2,5.693242133595E-1
5.754502444129E2,5.614769849013E-1
5.772101920239E2,5.535125051892E-1
5.791260596170E2,5.448549024448E-1
5.824528040791E2,5.290436590715E-1
5.835433275067E2,5.211729340528E-1
5.846448389655E2,5.127553517080E-1
5.855536707391E2,5.043533543439E-1
5.864947061750E2,4.959511747331E-1
5.873558042932E2,4.875947638585E-1
5.883445733844E2,4.791469977583E-1
5.892711571829E2,4.699052145210E-1
5.901322553011E2,4.615488036463E-1
5.911014666495E2,4.524750494622E-1
5.922816449569E2,4.441231638132E-1
5.935759641220E2,4.362362910932E-1
5.955365228258E2,4.274609794382E-1
5.970924247146E2,4.199149981017E-1
5.994034441375E2,4.125411773098E-1
6.012953556811E2,4.045632055637E-1
6.027214582888E2,3.963419620489E-1
6.040414847224E2,3.881041752622E-1
6.050941338948E2,3.803095361558E-1
6.060806477213E2,3.716641901802E-1
6.070072315198E2,3.624224069429E-1
6.081139114984E2,3.524066440971E-1
6.089836685909E2,3.428465518282E-1
6.097950482372E2,3.344451059643E-1
6.104830120529E2,3.255595401718E-1
6.112022116792E2,3.172885672858E-1
6.119285952144E2,3.081135590938E-1
6.122489895014E2,2.991644313736E-1
6.150779888670E2,2.807728059659E-1
6.172362876047E2,2.729380224734E-1
6.194302202140E2,2.659562176772E-1
6.211893886487E2,2.588009392084E-1
6.225316304720E2,2.505735894100E-1
6.236257527299E2,2.423696355283E-1
6.246068227996E2,2.326881252380E-1
6.255366353626E2,2.234084212620E-1
6.265433317301E2,2.144444137469E-1
6.277784817080E2,2.064452514048E-1
6.292300726880E2,1.989658356659E-1
6.308188564556E2,1.914536555113E-1
6.322234296335E2,1.838420554778E-1
6.334511737940E2,1.754382533276E-1
6.346449477826E2,1.678020559094E-1
6.346737999799E2,1.675751109266E-1
6.355365238991E2,1.596448645182E-1
6.362606888405E2,1.515987792677E-1
6.364173010690E2,1.505992671053E-1
6.370260855429E2,1.433915209751E-1
6.370956525061E2,1.422025725754E-1
6.378061922985E2,1.348987863582E-1
6.379817181541E2,1.334008538533E-1
6.386604232041E2,1.262916749527E-1
6.387505619279E2,1.250904480234E-1
6.398433546584E2,1.173719447941E-1
6.399549177022E2,1.166647031696E-1
6.415215274331E2,1.090965861725E-1
6.416008544820E2,1.087728417019E-1
6.458060922410E2,9.577065582230E-2
6.478770854148E2,8.971320071617E-2
6.498530377415E2,8.221532332127E-2
6.513036420432E2,7.477939687504E-2
6.527428364336E2,6.727955896835E-2
6.546971602208E2,5.948791407958E-2
6.567328502493E2,5.187724075005E-2
6.585629151336E2,4.514940077420E-2
6.606164368810E2,3.899408124424E-2
6.630246609021E2,3.339654466049E-2
6.654480392026E2,2.742506238271E-2
6.684301780229E2,2.261064995724E-2
6.714648843549E2,1.923473433003E-2
6.744259527547E2,1.639836678126E-2
6.767096834080E2,9.947854561238E-3
6.797344885774E2,1.161010743352E-2
6.830637544963E2,1.243095189313E-2
6.863979709965E2,1.073271210300E-2
6.957717003655E2,5.400160153035E-3
7.059467009216E2,2.890261805725E-3
9.995626376315E2,-2.449840959139E-3
